alt;sp
21.28199997;sp1
11.24736268;sp1
20.87269046;sp1
22.9018445;sp1
11.5895083;sp1
19.87578956;sp1
18.80923635;sp1
19.60229091;sp1
15.54828702;sp1
19.00668454;sp1
23.56257044;sp1
25.64833536;sp1
16.31330997;sp1
15.87616476;sp1
16.894068;sp1
19.31374395;sp1
24.11460342;sp1
20.94968929;sp1
19.54287143;sp1
22.21123222;sp1
26.30861558;sp1
17.87109412;sp1
20.16297416;sp1
16.63808492;sp1
24.32703147;sp1
8.301795078;sp1
19.3620205;sp1
18.85646601;sp1
20.19827144;sp1
25.88728907;sp1
27.19250178;sp1
24.96529373;sp1
19.70431321;sp1
25.00320365;sp1
18.59540357;sp1
15.94186589;sp1
21.94499893;sp1
14.80240717;sp1
12.53073941;sp1
24.28018132;sp1
20.59662408;sp1
23.02054914;sp1
15.35454093;sp1
13.29573666;sp1
32.86756552;sp1
22.04894529;sp1
19.84839574;sp1
22.77182699;sp1
21.30350208;sp1
29.51324767;sp1
19.14507837;sp2
21.72277058;sp2
29.5486268;sp2
13.55285428;sp2
28.08140343;sp2
18.66251595;sp2
30.21686882;sp2
23.61251899;sp2
25.069118;sp2
24.65518029;sp2
25.10581489;sp2
34.73577541;sp2
34.92368994;sp2
18.50468653;sp2
15.82720087;sp2
18.10266129;sp2
29.67614284;sp2
33.76459301;sp2
22.52183267;sp2
19.36477145;sp2
21.48083989;sp2
20.71838928;sp2
27.22120686;sp2
29.85854156;sp2
31.32969903;sp2
28.08558651;sp2
27.02070003;sp2
24.44512193;sp2
27.01051973;sp2
18.75607261;sp2
20.47804621;sp2
22.55699291;sp2
33.05536673;sp2
21.05640644;sp2
21.13211908;sp2
29.22926943;sp2
30.64455596;sp2
28.48294213;sp2
30.10292072;sp2
35.49362804;sp2
19.32911077;sp2
24.32839509;sp2
27.70902033;sp2
19.53648387;sp2
27.95705091;sp2
18.21446056;sp2
31.85030946;sp2
25.52458094;sp2
29.04682099;sp2
25.68183043;sp2
