TOT.N;D.PARK
22;250.214
14;741.179
65;1240.08
55;1739.885
88;2232.13
104;2724.089
49;3215.511
66;3709.401
26;4206.477
47;4704.176
35;5202.328
55;5700.669
44;6199.342
30;6698.151
33;7187.762
29;7668.833
34;8152.155
64;8633.224
76;9101.411
32;9573.578
34;10047.63
32;10523.939
35;11002.496
22;11482.896
34;11976.232
25;12470.968
18;12968.285
14;13465.914
14;13961.321
7;14432.954
7;14904.995
17;15377.983
10;15854.389
3;16335.936
6;16810.109
5;17235.045
2;17673.064
3;18167.269
2;18656.949
2;19149.507
7;19645.717
3;20141.987
5;20640.729
4;21138.903
7;21631.542
12;22119.102
7;22613.647
14;23113.45
10;23606.088
4;24046.886
11;24444.874
3;24884.803
