"especie";"rotacao";"regiao";"fazenda";"projeto";"estrato";"talhao";"idade";"ano";"pagina";"arvore";"dap";"ht";"vol";"voltot"
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 57602; 1; 7.32;12.81;  24.343027;2.573242e+01
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 57704; 1; 8.59;15.84;  39.651576;4.150090e+01
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 57807; 1;10.19;17.71;  61.841835;6.323123e+01
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 57807; 2;10.82;17.72;  72.736659;7.370782e+01
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 57910; 1;13.05;20.94; 128.877422;1.300642e+02
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 57910; 2;12.73;20.40; 120.278749;1.208191e+02
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 57910; 3;13.05;20.50; 122.892566;1.236843e+02
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 57910; 4;12.41;20.35; 110.646787;1.111113e+02
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 58108; 1;14.32;21.20; 159.180011;1.597204e+02
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 58108; 2;14.01;21.01; 133.713967;1.346851e+02
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 58108; 3;14.64;20.79; 160.591717;1.609104e+02
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 58108; 4;14.64;21.51; 168.638813;1.695459e+02
"E.grandis";"1";"Salto"; 1;89; 101;  6; 3.7;92; 58203; 1;18.46;23.52; 267.622080;2.681773e+02
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 57501; 1; 5.41; 9.47;   9.751284;1.170743e+01
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 57602; 2; 7.32;15.21;  32.899972;3.478524e+01
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 57704; 2; 9.23;16.44;  55.813370;5.654124e+01
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 57704; 3; 8.28;14.06;  34.484088;3.537105e+01
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 57807; 3; 9.87;17.62;  65.910967;6.673409e+01
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 57807; 4;10.19;17.38;  63.876130;6.488323e+01
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 57807; 5; 9.55;18.46;  67.052551;6.841405e+01
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 57910; 5;11.46;19.02;  89.680261;9.010075e+01
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 57910; 6;12.10;18.79; 101.620787;1.026480e+02
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 57910; 7;13.05;19.74; 124.046626;1.250738e+02
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 57910; 8;13.05;19.70; 121.661930;1.223810e+02
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 57910; 9;12.41;19.47; 105.328039;1.059277e+02
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 58108; 5;14.64;20.50; 162.716290;1.636040e+02
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 58108; 6;13.69;19.32; 134.959577;1.355000e+02
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 58108; 7;14.64;19.81; 163.867165;1.648383e+02
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 58108; 8;14.01;20.25; 144.493156;1.450335e+02
"E.grandis";"1";"Salto"; 1;89; 101;  8; 3.6;92; 58203; 2;18.14;23.04; 269.529451;2.702764e+02
"E.grandis";"1";"Salto"; 1;89; 101;  9; 3.6;92; 57704; 4; 8.91;17.38;  51.132546;5.289768e+01
"E.grandis";"1";"Salto"; 1;89; 101;  9; 3.6;92; 57807; 6;10.19;17.96;  71.762981;7.269795e+01
"E.grandis";"1";"Salto"; 1;89; 101;  9; 3.6;92; 57807; 7; 9.87;17.41;  66.810743;6.832882e+01
"E.grandis";"1";"Salto"; 1;89; 101;  9; 3.6;92; 57910;10;12.73;19.15; 111.213016;1.117094e+02
"E.grandis";"1";"Salto"; 1;89; 101;  9; 3.6;92; 58001; 1;11.46;18.35;  92.051747;9.273940e+01
