"Ambiente" "Area" "Riqueza" "Abund_sp1" "local"
"1" "primario" 101 35 3 "bordinha"
"2" "primario" 115 31 3 "bordinha"
"3" "primario" 143 39 1 "bordinha"
"4" "primario" 92 25 6 "bordinha"
"5" "primario" 51 22 1 "interior"
"6" "primario" 89 35 0 "interior"
"7" "primario" 128 43 3 "interior"
"8" "primario" 149 48 5 "interior"
"9" "primario" 127 35 0 "bordinha"
"10" "primario" 108 38 2 "bordinha"
"11" "primario" 83 32 0 "bordinha"
"12" "primario" 140 33 2 "bordinha"
"13" "primario" 163 40 2 "interior"
"14" "primario" 41 16 3 "interior"
"15" "primario" 107 31 5 "interior"
"16" "primario" 79 23 3 "interior"
"17" "primario" 104 32 1 "bordinha"
"18" "primario" 60 35 4 "bordinha"
"19" "primario" 82 22 3 "bordinha"
"20" "primario" 148 41 0 "bordinha"
"21" "primario" 97 24 2 "interior"
"22" "primario" 49 18 3 "interior"
"23" "secundario" 164 39 1 "interior"
"24" "secundario" 110 32 3 "interior"
"25" "secundario" 51 19 3 "bordinha"
"26" "secundario" 40 20 1 "bordinha"
"27" "secundario" 92 31 3 "bordinha"
"28" "secundario" 163 26 1 "bordinha"
"29" "secundario" 128 20 2 "interior"
"30" "secundario" 130 33 2 "interior"
"31" "secundario" 122 36 2 "interior"
"32" "secundario" 96 32 2 "interior"
"33" "secundario" 59 28 8 "bordinha"
"34" "secundario" 73 23 5 "bordinha"
"35" "secundario" 90 28 1 "bordinha"
"36" "secundario" 48 16 0 "bordinha"
"37" "secundario" 166 44 3 "interior"
"38" "secundario" 121 27 0 "interior"
"39" "secundario" 167 37 3 "interior"
"40" "secundario" 48 24 2 "interior"
"41" "secundario" 78 19 0 "bordinha"
"42" "secundario" 105 28 2 "bordinha"
"43" "secundario" 90 27 0 "bordinha"
"44" "secundario" 105 28 0 "bordinha"
"45" "secundario" 166 27 1 "interior"
"46" "secundario" 84 20 3 "interior"
"47" "secundario" 57 34 3 "interior"
"48" "secundario" 81 20 4 "interior"
"49" "secundario" 122 31 1 "bordinha"
"50" "secundario" 112 14 0 "bordinha"
