UA;Ambiente;Area;Riqueza;Abund_sp1
1;primario;101;35;3
2;primario;115;31;3
3;primario;143;39;1
4;primario;92;25;6
5;primario;51;22;1
6;primario;89;35;0
7;primario;128;43;3
8;primario;149;48;5
9;primario;127;35;0
10;primario;108;38;2
11;primario;83;32;0
12;primario;140;33;2
13;primario;163;40;2
14;primario;41;16;3
15;primario;107;31;5
16;primario;79;23;3
17;primario;104;32;1
18;primario;60;35;4
19;primario;82;22;3
20;primario;148;41;0
21;primario;97;24;2
22;primario;49;18;3
23;secundario;164;39;1
24;secundario;110;32;3
25;secundario;51;19;3
26;secundario;40;20;1
27;secundario;92;31;3
28;secundario;163;26;1
29;secundario;128;20;2
30;secundario;130;33;2
31;secundario;122;36;2
32;secundario;96;32;2
33;secundario;59;28;8
34;secundario;73;23;5
35;secundario;90;28;1
36;secundario;48;16;0
37;secundario;166;44;3
38;secundario;121;27;0
39;secundario;167;37;3
40;secundario;48;24;2
41;secundario;78;19;0
42;secundario;105;28;2
43;secundario;90;27;0
44;secundario;105;28;0
45;secundario;166;27;1
46;secundario;84;20;3
47;secundario;57;34;3
48;secundario;81;20;4
49;secundario;122;31;1
50;secundario;112;14;0
